Date,Year,Month_Num,Month_Name,Financial_Year,Volume_Mn,Value_Cr,Volume_MoM_%,Value_MoM_%,Volume_YoY_%,Value_YoY_%,Month_Sin,Month_Cos,Volume_RollMean_3M,Value_RollMean_3M,Is_Covid_Period,Is_Festive_Season,Event_Code
2016-01-01,2016,1,January,FY15-16,0.0,0.0,,,,,0.49999999999999994,0.8660254037844387,,,0,0,0
2016-02-01,2016,2,February,FY15-16,0.0,0.0,,,,,0.8660254037844386,0.5000000000000001,,,0,0,0
2016-03-01,2016,3,March,FY15-16,0.0,0.0,,,,,1.0,6.123233995736766e-17,0.0,0.0,0,0,0
2016-04-01,2016,4,April,FY16-17,0.0,0.0,,,,,0.8660254037844387,-0.49999999999999983,0.0,0.0,0,0,0
2016-05-01,2016,5,May,FY16-17,0.0,0.0,,,,,0.49999999999999994,-0.8660254037844387,0.0,0.0,0,0,0
2016-06-01,2016,6,June,FY16-17,0.0,0.0,,,,,1.2246467991473532e-16,-1.0,0.0,0.0,0,0,0
2016-07-01,2016,7,July,FY16-17,0.0,0.0,,,,,-0.4999999999999998,-0.8660254037844388,0.0,0.0,0,0,0
2016-08-01,2016,8,August,FY16-17,0.093,3.1,inf,inf,,,-0.8660254037844384,-0.5000000000000004,0.031,1.0333333333333334,0,0,0
2016-09-01,2016,9,September,FY16-17,1.1226666666666665,313.53333333333336,1107.17,10013.98,,,-1.0,-1.8369701987210297e-16,0.40522222222222215,105.54444444444447,0,0,0
2016-10-01,2016,10,October,FY16-17,2.152333333333333,623.9666666666667,91.72,99.01,,,-0.8660254037844386,0.5000000000000001,1.1226666666666665,313.53333333333336,0,1,0
2016-11-01,2016,11,November,FY16-17,3.1819999999999995,934.4,47.84,49.75,,,-0.5000000000000004,0.8660254037844384,2.152333333333333,623.9666666666667,0,1,1
2016-12-01,2016,12,December,FY16-17,4.211666666666666,1244.8333333333333,32.36,33.22,,,-2.4492935982947064e-16,1.0,3.182,934.4,0,0,0
